0707820c-dc6b-4b54-95d1-f9a42e444785,Together rule dark stand,Cuevas and Sons,1971,13036,4,16,1,12,100,215
c7451c56-e3fe-498d-b46d-805549dacfb0,Age hit meet,Williamson-Hatfield,1983,9171,1,99,2,14,75,155
09e0c4e2-069f-43f2-98d9-5328ea3625d0,Event kind energy physical,"Hammond, Flores and Becker",2020,11064,13,21,4,15,65,100
46db5967-01c5-4547-8080-96a7f8fce369,Great training look miss,Hale Group,1990,1144,0,0,2,3,65,150
aedacdb5-a335-489d-a078-a40c6fc5394f,Company call receive art,Raymond-Odonnell,2002,6595,20,20,1,6,25,95
90c262ae-27ca-41d4-bf8e-695f9799ba0f,Visit floor upon Mrs,Charles-Mejia,1981,14913,12,99,12,12,95,100
30e207be-df44-4977-aebb-d8b88089d7fa,Worker car question indicate,"Paul, Thompson and Knight",2005,13015,0,99,10,10,80,160
c0330088-3b2c-4327-9380-55b03dd1df69,Huge happy why,"Mendoza, Vaughan and Hopkins",2011,13669,12,14,11,14,75,160
d550e37d-ced7-4571-8f32-4b87a5ad4a75,Member dream prepare,White-Hernandez,2002,2491,7,13,7,11,85,200
897f09f9-05ad-468a-8f84-70cef02a4d0c,Decision first area,Wilson and Sons,1987,3735,3,16,3,11,15,225
58951d3f-f044-410a-901e-261f0115afc6,That per total great local,Lee-Baldwin,2018,1080,7,8,1,15,65,185
1d4862dc-39bc-4ad5-b985-20e8ef322c74,Street easy treat,Watkins Group,1980,12339,16,99,3,15,170,195
27ffd083-77f2-4267-86e9-8b00a7c3ea20,Reach memory perform grow,"Johnson, Blackwell and Brandt",2009,13350,1,11,3,15,5,50
3d5265d8-7245-46ee-a2ca-b49ad8d708bc,And PM child share,Morrow Inc,1970,533,1,2,5,15,55,225
a5024a7e-ada4-4fe1-8edf-94960efc860d,Where wind food increase,Martin Ltd,2001,6180,0,19,8,12,140,225
37678039-2b49-4a07-8696-1b61ed3cd2bf,Get western three,Lee-Baldwin,2011,1885,13,19,8,15,170,195
